Date,Open,High,Low,Close,Adj Close,Volume
2008-08-01,3075.000000,3100.000000,3000.000000,3075.000000,1676.612183,6558500
2008-08-04,3000.000000,3025.000000,2925.000000,3000.000000,1635.719116,10343000
2008-08-05,2900.000000,2900.000000,2800.000000,2900.000000,1581.195190,10302000
2008-08-06,2875.000000,2950.000000,2825.000000,2875.000000,1567.564087,15667500
2008-08-07,2875.000000,2925.000000,2825.000000,2875.000000,1567.564087,20643500
2008-08-08,2900.000000,2925.000000,2825.000000,2900.000000,1581.195190,14138000
2008-08-11,2850.000000,2850.000000,2500.000000,2550.000000,1390.361328,24900000
2008-08-12,2375.000000,2575.000000,2375.000000,2375.000000,1294.944214,13089500
2008-08-13,2450.000000,2450.000000,2350.000000,2450.000000,1335.837036,4229500
2008-08-14,2625.000000,2625.000000,2500.000000,2625.000000,1431.254028,10680000
2008-08-15,2525.000000,2600.000000,2450.000000,2525.000000,1376.730347,6752000
2008-08-19,2525.000000,2525.000000,2450.000000,2525.000000,1376.730347,2926500
2008-08-20,2650.000000,2650.000000,2525.000000,2650.000000,1444.885254,8170500
2008-08-21,2725.000000,2725.000000,2625.000000,2725.000000,1485.778320,12336500
2008-08-22,2775.000000,2850.000000,2700.000000,2775.000000,1513.040283,21122000
2008-08-25,2675.000000,2800.000000,2650.000000,2675.000000,1458.515991,7065500
2008-08-26,2675.000000,2675.000000,2625.000000,2675.000000,1458.515991,8137500
2008-08-27,2725.000000,2750.000000,2675.000000,2725.000000,1485.778320,6746500
2008-08-28,2750.000000,2775.000000,2725.000000,2750.000000,1499.409180,7612000
2008-08-29,2825.000000,2825.000000,2725.000000,2825.000000,1540.301880,9202000
2008-09-01,2825.000000,2850.000000,2750.000000,2825.000000,1540.301880,5412500
2008-09-02,2775.000000,2775.000000,2700.000000,2775.000000,1513.040283,5421500
2008-09-03,2750.000000,2750.000000,2700.000000,2750.000000,1499.409180,5075000
2008-09-04,2625.000000,2725.000000,2575.000000,2625.000000,1431.254028,9726000
2008-09-05,2475.000000,2575.000000,2425.000000,2475.000000,1349.468140,13639500
2008-09-08,2475.000000,2550.000000,2450.000000,2475.000000,1349.468140,3522500
2008-09-09,2400.000000,2450.000000,2325.000000,2400.000000,1308.575195,7488000
2008-09-10,2325.000000,2325.000000,2175.000000,2200.000000,1199.527466,5699000
2008-09-11,2200.000000,2225.000000,2150.000000,2200.000000,1199.527466,6675000
2008-09-12,2125.000000,2250.000000,2075.000000,2125.000000,1158.634521,4927500
2008-09-15,2050.000000,2125.000000,1975.000000,2050.000000,1117.741455,5871000
2008-09-16,1950.000000,2000.000000,1725.000000,1950.000000,1063.217407,6568000
